CPU Utilization: 3%
Cores used: 1
Cores available: 31
+============================================================+
Running processes:
Process_1314    (06/28/2025 11:09:51AM)    Core: 20    38/100

Finished processes:
Process_1353    (06/28/2025 11:09:56AM)    Finished    100/100
Process_1354    (06/28/2025 11:09:56AM)    Finished    100/100
Process_1355    (06/28/2025 11:09:56AM)    Finished    100/100
Process_1359    (06/28/2025 11:09:56AM)    Finished    100/100
Process_1360    (06/28/2025 11:09:56AM)    Finished    100/100
Process_1361    (06/28/2025 11:09:56AM)    Finished    100/100
Process_1350    (06/28/2025 11:09:56AM)    Finished    100/100
Process_1351    (06/28/2025 11:09:56AM)    Finished    100/100
Process_1365    (06/28/2025 11:09:56AM)    Finished    100/100
Process_1352    (06/28/2025 11:09:56AM)    Finished    100/100
Process_1367    (06/28/2025 11:09:56AM)    Finished    100/100
Process_1366    (06/28/2025 11:09:56AM)    Finished    100/100
Process_1356    (06/28/2025 11:09:56AM)    Finished    100/100
Process_1362    (06/28/2025 11:09:56AM)    Finished    100/100
Process_1364    (06/28/2025 11:09:56AM)    Finished    100/100
Process_1363    (06/28/2025 11:09:56AM)    Finished    100/100
Process_1368    (06/28/2025 11:09:56AM)    Finished    100/100
Process_1357    (06/28/2025 11:09:56AM)    Finished    100/100
Process_1358    (06/28/2025 11:09:56AM)    Finished    100/100
Process_1308    (06/28/2025 11:09:48AM)    Finished    100/100
Process_1372    (06/28/2025 11:09:58AM)    Finished    100/100
Process_1371    (06/28/2025 11:09:58AM)    Finished    100/100
Process_1370    (06/28/2025 11:09:57AM)    Finished    100/100
Process_1369    (06/28/2025 11:09:56AM)    Finished    100/100
Process_1260    (06/28/2025 11:09:45AM)    Finished    100/100
Process_1309    (06/28/2025 11:09:49AM)    Finished    100/100
Process_1312    (06/28/2025 11:09:50AM)    Finished    100/100
Process_1311    (06/28/2025 11:09:50AM)    Finished    100/100
Process_1259    (06/28/2025 11:09:45AM)    Finished    100/100
Process_1258    (06/28/2025 11:09:45AM)    Finished    100/100
Process_1310    (06/28/2025 11:09:50AM)    Finished    100/100
Process_1256    (06/28/2025 11:09:45AM)    Finished    100/100
Process_1257    (06/28/2025 11:09:45AM)    Finished    100/100
Process_1313    (06/28/2025 11:09:50AM)    Finished    100/100
Process_1249    (06/28/2025 11:09:44AM)    Finished    100/100
Process_1251    (06/28/2025 11:09:44AM)    Finished    100/100
Process_1255    (06/28/2025 11:09:44AM)    Finished    100/100
Process_1246    (06/28/2025 11:09:44AM)    Finished    100/100
Process_1253    (06/28/2025 11:09:44AM)    Finished    100/100
Process_1348    (06/28/2025 11:09:55AM)    Finished    100/100
Process_1315    (06/28/2025 11:09:53AM)    Finished    100/100
Process_1269    (06/28/2025 11:09:47AM)    Finished    100/100
+============================================================+
